vllm ({'pretrained': 'models/Qwen3.6-27B-MXFP4', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.9301|±  |0.0155|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5843|±  |0.0384|
| - social sciences                     |      2|none  |     5|acc   |↑  |0.9032|±  |0.0053|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.8158|±  |0.0365|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.9293|±  |0.0183|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.9741|±  |0.0115|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.8923|±  |0.0157|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.9580|±  |0.0130|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.9450|±  |0.0098|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.8779|±  |0.0287|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.8840|±  |0.0130|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.7455|±  |0.0417|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.8490|±  |0.0229|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.9204|±  |0.0191|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.9200|±  |0.0273|
| - stem                                |      2|none  |     5|acc   |↑  |0.8373|±  |0.0064|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.7000|±  |0.0461|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.8222|±  |0.0330|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.9276|±  |0.0211|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.9722|±  |0.0137|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.6500|±  |0.0479|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.8100|±  |0.0394|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.7000|±  |0.0461|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.7059|±  |0.0453|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.8500|±  |0.0359|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.9447|±  |0.0149|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.8138|±  |0.0324|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.8757|±  |0.0170|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.9548|±  |0.0118|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.8079|±  |0.0277|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.9200|±  |0.0273|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.6667|±  |0.0287|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.8212|±  |0.0313|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.8796|±  |0.0222|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.7857|±  |0.0389|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.8483|±  |0.0029|
| - humanities     |      2|none  |     5|acc   |↑  |0.8047|±  |0.0056|
| - other          |      2|none  |     5|acc   |↑  |0.8713|±  |0.0057|
| - social sciences|      2|none  |     5|acc   |↑  |0.9032|±  |0.0053|
| - stem           |      2|none  |     5|acc   |↑  |0.8373|±  |0.0064|
