vllm ({'pretrained': 'models/Qwen3.6-27B-FP8-KVFP8-ATFP8', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - professional_medicine              |      1|none  |     5|acc   |↑  |0.9485|±  |0.0134|
|  - virology                           |      1|none  |     5|acc   |↑  |0.5904|±  |0.0383|
| - social sciences                     |      2|none  |     5|acc   |↑  |0.9210|±  |0.0048|
|  - econometrics                       |      1|none  |     5|acc   |↑  |0.8509|±  |0.0335|
|  - high_school_geography              |      1|none  |     5|acc   |↑  |0.9444|±  |0.0163|
|  - high_school_government_and_politics|      1|none  |     5|acc   |↑  |0.9741|±  |0.0115|
|  - high_school_macroeconomics         |      1|none  |     5|acc   |↑  |0.9282|±  |0.0131|
|  - high_school_microeconomics         |      1|none  |     5|acc   |↑  |0.9580|±  |0.0130|
|  - high_school_psychology             |      1|none  |     5|acc   |↑  |0.9523|±  |0.0091|
|  - human_sexuality                    |      1|none  |     5|acc   |↑  |0.9008|±  |0.0262|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.9069|±  |0.0118|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.7727|±  |0.0401|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.8653|±  |0.0219|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.9403|±  |0.0168|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.9400|±  |0.0239|
| - stem                                |      2|none  |     5|acc   |↑  |0.8633|±  |0.0060|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.7900|±  |0.0409|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.8741|±  |0.0287|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.9539|±  |0.0171|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.9792|±  |0.0119|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.6900|±  |0.0465|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.8300|±  |0.0378|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.7500|±  |0.0435|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.8137|±  |0.0387|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.8700|±  |0.0338|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.9532|±  |0.0138|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.8483|±  |0.0299|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.8889|±  |0.0162|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.9548|±  |0.0118|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.8030|±  |0.0280|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.9500|±  |0.0219|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.7259|±  |0.0272|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.8543|±  |0.0288|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.8889|±  |0.0214|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.7857|±  |0.0389|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.8674|±  |0.0028|
| - humanities     |      2|none  |     5|acc   |↑  |0.8223|±  |0.0055|
| - other          |      2|none  |     5|acc   |↑  |0.8867|±  |0.0054|
| - social sciences|      2|none  |     5|acc   |↑  |0.9210|±  |0.0048|
| - stem           |      2|none  |     5|acc   |↑  |0.8633|±  |0.0060|
