vllm ({'pretrained': 'models/Qwen3.6-27B-FP8', 'max_model_len': 4096, 'language_model_only': True, 'gpu_memory_utilization': 0.85}), gen_kwargs: ({}), limit: None, num_fewshot: 5, batch_size: 16
|                 Tasks                 |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|  - professional_psychology            |      1|none  |     5|acc   |↑  |0.9036|±  |0.0119|
|  - public_relations                   |      1|none  |     5|acc   |↑  |0.7455|±  |0.0417|
|  - security_studies                   |      1|none  |     5|acc   |↑  |0.8694|±  |0.0216|
|  - sociology                          |      1|none  |     5|acc   |↑  |0.9353|±  |0.0174|
|  - us_foreign_policy                  |      1|none  |     5|acc   |↑  |0.9500|±  |0.0219|
| - stem                                |      2|none  |     5|acc   |↑  |0.8658|±  |0.0059|
|  - abstract_algebra                   |      1|none  |     5|acc   |↑  |0.7800|±  |0.0416|
|  - anatomy                            |      1|none  |     5|acc   |↑  |0.8593|±  |0.0300|
|  - astronomy                          |      1|none  |     5|acc   |↑  |0.9408|±  |0.0192|
|  - college_biology                    |      1|none  |     5|acc   |↑  |0.9792|±  |0.0119|
|  - college_chemistry                  |      1|none  |     5|acc   |↑  |0.6900|±  |0.0465|
|  - college_computer_science           |      1|none  |     5|acc   |↑  |0.8400|±  |0.0368|
|  - college_mathematics                |      1|none  |     5|acc   |↑  |0.7500|±  |0.0435|
|  - college_physics                    |      1|none  |     5|acc   |↑  |0.8235|±  |0.0379|
|  - computer_security                  |      1|none  |     5|acc   |↑  |0.8800|±  |0.0327|
|  - conceptual_physics                 |      1|none  |     5|acc   |↑  |0.9489|±  |0.0144|
|  - electrical_engineering             |      1|none  |     5|acc   |↑  |0.8483|±  |0.0299|
|  - elementary_mathematics             |      1|none  |     5|acc   |↑  |0.8862|±  |0.0164|
|  - high_school_biology                |      1|none  |     5|acc   |↑  |0.9677|±  |0.0101|
|  - high_school_chemistry              |      1|none  |     5|acc   |↑  |0.8227|±  |0.0269|
|  - high_school_computer_science       |      1|none  |     5|acc   |↑  |0.9400|±  |0.0239|
|  - high_school_mathematics            |      1|none  |     5|acc   |↑  |0.7333|±  |0.0270|
|  - high_school_physics                |      1|none  |     5|acc   |↑  |0.8411|±  |0.0299|
|  - high_school_statistics             |      1|none  |     5|acc   |↑  |0.9028|±  |0.0202|
|  - machine_learning                   |      1|none  |     5|acc   |↑  |0.8036|±  |0.0377|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|-----:|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |   |0.8677|±  |0.0028|
| - humanities     |      2|none  |     5|acc   |↑  |0.8227|±  |0.0055|
| - other          |      2|none  |     5|acc   |↑  |0.8854|±  |0.0054|
| - social sciences|      2|none  |     5|acc   |↑  |0.9204|±  |0.0048|
| - stem           |      2|none  |     5|acc   |↑  |0.8658|±  |0.0059|
